date, pm25, pm10, o3, no2, so2, co
2025/12/1, 238, 233, 23, 55, 9, 9
2025/12/2, 322, 144, 20, 47, 3, 4
2025/12/3, 252, 179, 14, 45, 4, 6
2025/12/4, 267, 224, 31, 40, 6, 5
2025/12/5, 275, 293, 34, 32, 6, 5
2025/12/6, 278, 216, 33, 32, 4, 5
2025/12/7, 256, 218, 33, 31, 4, 5
2025/12/8, 239, 269, 29, 34, 3, 5
2025/12/9, 224, 273, 28, 33, 4, 3
2025/12/10, 234, 282, 27, 34, 6, 7
2025/12/11, 265, 432, 28, 36, 9, 2
2025/12/12, 320, 611, 37, 50, 14, 7
2025/12/13, 488, 692, 2, 43, 13, 15
2025/12/14, 562, 435, 15, 34, 7, 12
2025/12/15, 404, 318, , 33, 4, 9
2025/12/16, 356, , , , , 
2025/11/1, 284, 226, 28, 49, 6, 6
2025/11/2, 250, 233, 27, 43, 9, 4
2025/11/3, 228, 200, 28, 46, 8, 3
2025/11/4, 175, 141, 23, 34, 5, 6
2025/11/5, 176, 317, 26, 34, 13, 6
2025/11/6, 330, 303, 30, 40, 11, 7
2025/11/7, 307, 385, 33, 43, 12, 5
2025/11/8, 315, 310, 35, 46, 8, 
2025/11/9, 312, 298, 31, 53, 14, 8
2025/11/10, 365, 315, 38, 50, 17, 7
2025/11/11, 387, 317, 38, 45, 30, 6
2025/11/12, 390, 282, 34, 47, 13, 4
2025/11/13, 373, 237, 32, 48, 12, 6
2025/11/14, 330, 239, 34, 45, 13, 6
2025/11/15, 326, 213, 17, 43, 21, 4
2025/11/16, 315, 218, 24, 49, 18, 6
2025/11/17, 280, 246, 1, 56, 24, 
2025/11/18, 324, 258, 42, 51, 14, 5
2025/11/19, 359, 285, 36, 53, 18, 4
2025/11/20, 369, 295, 32, 53, 34, 14
2025/11/21, 367, 261, 30, 47, 21, 7
2025/11/22, 328, 256, 27, 46, 7, 4
2025/11/23, 373, 193, 27, 41, 7, 9
2025/11/24, 309, 202, 19, 42, 8, 9
2025/11/25, 295, 178, 28, 40, 8, 6
2025/11/26, 269, 330, 28, 51, 18, 8
2025/11/27, 386, 207, 19, 48, 10, 7
2025/11/28, 311, 131, 18, 44, 4, 6
2025/11/29, 228, 141, 8, 42, 1, 8
2025/11/30, 246, 157, 27, 46, 3, 3
2025/10/1, 102, 94, 30, 14, 1, 6
2025/10/2, 117, 67, 25, 14, 3, 6
2025/10/3, 110, 102, 28, 13, 4, 14
2025/10/4, 148, 124, 31, 14, 4, 8
2025/10/5, 145, , , , , 
2025/10/7, 51, 55, 17, 16, 1, 4
2025/10/8, 94, 77, 24, 13, 3, 5
2025/10/9, 119, 122, 36, 18, 9, 6
2025/10/10, 149, 254, 32, 23, 3, 6
2025/10/11, 158, 127, 34, 18, 4, 6
2025/10/12, 150, 166, 36, 22, 6, 2
2025/10/13, 164, 161, 35, 25, 6, 4
2025/10/14, 164, 218, 39, 25, 6, 5
2025/10/15, 194, 318, 36, 26, 10, 4
2025/10/16, 218, 283, 36, 27, 6, 4
2025/10/17, 206, 228, 36, 26, 11, 1
2025/10/18, 198, 260, 42, 26, 8, 1
2025/10/19, 198, 260, 44, 25, 15, 4
2025/10/20, 259, 425, 30, 25, 20, 4
2025/10/21, 437, 171, 32, 20, 8, 4
2025/10/22, 232, 143, 32, 24, 7, 3
2025/10/23, 191, 209, 32, 27, 9, 2
2025/10/24, 190, 272, 37, 29, 7, 5
2025/10/25, 223, 363, 40, 33, 9, 9
2025/10/26, 263, 202, 26, 24, 4, 2
2025/10/27, 227, 174, 21, 34, 6, 5
2025/10/28, 208, 158, 16, 42, 4, 4
2025/10/29, 221, 238, 14, 51, 2, 6
2025/10/30, 282, 146, 13, 43, 2, 3
2025/10/31, 177, 299, 23, 48, 6, 4
2025/7/1, 105, 149, 20, 13, 3, 6
2025/7/2, 98, 84, 24, 7, 3, 4
2025/7/3, 75, 71, 22, 14, 2, 7
2025/7/4, 86, 102, 24, 16, 3, 4
2025/7/5, 112, 63, 23, 10, 3, 9
2025/7/6, 69, 61, 31, 12, 4, 8
2025/7/7, 56, 94, 23, 12, 3, 6
2025/7/8, 88, 91, 16, 8, 3, 2
2025/7/9, 49, 45, 22, 8, 3, 5
2025/7/10, 35, 131, 18, 9, 2, 5
2025/7/11, 83, 139, 21, 8, 3, 4
2025/7/12, 83, 91, 3, 7, 2, 5
2025/7/13, 77, 59, 17, 7, 2, 5
2025/7/14, 58, 59, 8, 6, 3, 4
2025/7/15, 53, 83, 18, 8, 3, 4
2025/7/16, 74, 82, 19, 7, 3, 3
2025/7/17, 77, 51, 17, 6, 3, 6
2025/7/18, 55, 64, 18, 7, 3, 4
2025/7/19, 59, 99, 7, 13, 3, 5
2025/7/20, 77, 104, 21, 13, 4, 7
2025/7/21, 104, 105, 22, 14, 2, 6
2025/7/22, 109, 88, 8, 10, 3, 4
2025/7/23, 53, 118, 1, 7, 2, 4
2025/7/24, 79, 200, , 8, 3, 4
2025/7/25, 104, 89, 29, 8, 2, 5
2025/7/26, 78, 145, 2, 11, 2, 4
2025/7/27, 95, , , , , 
2025/7/29, 76, 79, 15, 10, 3, 4
2025/7/30, 84, 77, 8, 8, 3, 
2025/7/31, 55, 60, 6, 6, 4, 3
2025/8/1, 60, 97, 8, 9, 3, 6
2025/8/2, 71, 185, 13, 8, 3, 4
2025/8/3, 73, 157, 12, 9, 3, 3
2025/8/4, 83, 106, 10, 11, 2, 3
2025/8/5, 76, 113, 12, 8, 2, 5
2025/8/6, 83, 215, 6, 11, 3, 5
2025/8/7, 93, 142, 14, 10, 3, 7
2025/8/8, 90, 157, 6, 8, 3, 4
2025/8/9, 65, 196, 14, 9, 2, 4
2025/8/10, 79, 113, 11, 11, 3, 7
2025/8/11, 88, 137, 14, 11, 3, 4
2025/8/12, 86, 147, 6, 8, 3, 4
2025/8/13, 94, 65, 3, 12, 3, 7
2025/8/14, 73, 160, 7, 9, 4, 8
2025/8/15, 118, 491, 7, 10, 3, 7
2025/8/16, 119, 46, 14, 11, 3, 2
2025/8/17, 89, 51, 21, 12, 2, 4
2025/8/18, 90, 55, 19, 13, 2, 4
2025/8/19, 94, 47, 22, 11, 3, 5
2025/8/20, 82, 47, 21, 14, 3, 5
2025/8/21, 79, 98, 24, 16, 2, 5
2025/8/22, 127, 98, 12, 12, 2, 4
2025/8/23, 100, , , , , 
2025/8/25, 79, 32, 13, 9, 3, 4
2025/8/26, 34, 114, 10, 17, 3, 3
2025/8/27, 92, 141, 24, 15, 3, 7
2025/8/28, 140, 82, 9, 14, 3, 7
2025/8/29, 110, 95, 22, 13, 3, 7
2025/8/30, 80, 89, 15, 12, 3, 6
2025/8/31, 81, 42, 12, 12, 2, 5
2025/9/1, 47, 20, 12, 11, 2, 6
2025/9/2, 32, 33, 16, 13, 2, 6
2025/9/3, 57, 44, 25, 11, 2, 4
2025/9/4, 66, 54, 16, 11, 3, 6
2025/9/5, 78, 72, 20, 13, 3, 4
2025/9/6, 96, 67, 8, 13, 3, 7
2025/9/7, 67, 71, 24, 10, 3, 5
2025/9/8, 71, 76, 14, 11, 2, 3
2025/9/9, 84, 65, 14, 9, 2, 5
2025/9/10, 68, 85, 11, 14, 2, 4
2025/9/11, 78, 92, 11, 14, 2, 4
2025/9/12, 75, 88, 12, 14, 3, 4
2025/9/13, 72, 98, 15, 16, 2, 5
2025/9/14, 93, 94, 13, 14, 2, 5
2025/9/15, 88, 73, 17, 11, 2, 3
2025/9/16, 74, 91, 18, 14, 3, 6
2025/9/17, 114, 97, 25, 16, 4, 7
2025/9/18, 128, 254, 19, 11, 4, 12
2025/9/19, 145, , , , , 
2025/9/25, 85, 104, 20, 10, 7, 5
2025/9/26, 117, 106, 35, 11, 6, 6
2025/9/27, 140, 114, 22, 12, 3, 5
2025/9/28, 98, 103, 32, 13, 4, 6
2025/9/29, 104, 99, 17, 15, 5, 7
2025/9/30, 128, 66, 31, 12, 2, 7
2025/4/1, 241, 333, 27, 25, 19, 6
2025/4/2, 229, 253, 39, 28, 5, 5
2025/4/3, 157, 309, 33, 25, 13, 5
2025/4/4, 196, 183, 32, 19, 15, 5
2025/4/5, 167, 190, 33, 21, 20, 5
2025/4/6, 185, 379, 55, 27, 7, 10
2025/4/7, 194, 207, 57, 28, 5, 4
2025/4/8, 172, 171, 46, 22, 6, 5
2025/4/9, 166, 240, 36, 19, 5, 3
2025/4/10, 131, 141, 32, 18, 4, 3
2025/4/11, 123, 111, 46, 16, 6, 4
2025/4/12, 114, 134, 52, 21, 6, 10
2025/4/13, 138, 165, 45, 26, 4, 5
2025/4/14, 151, 134, 45, 25, 7, 4
2025/4/15, 142, 171, 52, 26, 5, 5
2025/4/16, 160, 270, 43, 24, 6, 5
2025/4/17, 161, 235, 51, 22, 4, 4
2025/4/18, 164, 168, 29, 18, 4, 4
2025/4/19, 138, 134, 30, 19, 5, 4
2025/4/20, 127, 245, 22, 23, 7, 4
2025/4/21, 154, 273, 25, 21, 14, 4
2025/4/22, 175, 263, 29, 25, 12, 4
2025/4/23, 196, 327, 25, 28, 15, 5
2025/4/24, 233, 258, 33, 23, 6, 6
2025/4/25, 171, 419, 29, 33, 13, 8
2025/4/26, 234, 278, 34, 26, 10, 6
2025/4/27, 182, 223, 46, 29, 8, 6
2025/4/28, 176, 202, 31, 20, 6, 4
2025/4/29, 152, 163, 32, 20, 5, 4
2025/4/30, 156, 159, 30, 18, 5, 4
2025/5/1, 158, 175, 24, 14, 5, 3
2025/5/2, 124, 181, 17, 27, 3, 8
2025/5/3, 147, 227, 28, 24, 5, 5
2025/5/4, 157, 91, 17, 18, 4, 4
2025/5/5, 105, 142, 21, 26, 5, 4
2025/5/6, 145, 138, 21, 19, 4, 7
2025/5/7, 149, 137, 15, 17, 6, 6
2025/5/8, 147, 141, 15, 19, 5, 5
2025/5/9, 148, 322, 13, 21, 8, 5
2025/5/10, 215, 172, 14, 17, 5, 4
2025/5/11, 144, 156, 13, 16, 6, 3
2025/5/12, 143, 207, 16, 6, 2, 1
2025/5/13, 106, 205, 21, 7, 4, 3
2025/5/14, 135, 405, 30, 14, 7, 5
2025/5/15, 317, 338, 25, 21, 10, 5
2025/5/16, 190, 153, 21, 15, 3, 3
2025/5/17, 119, 162, 30, 14, 5, 4
2025/5/18, 140, 189, 21, 12, 4, 6
2025/5/19, 161, 228, 19, 13, 3, 5
2025/5/20, 160, 185, 27, 14, 5, 5
2025/5/21, 178, 82, 12, 13, 4, 4
2025/5/22, 80, 111, 13, 13, 3, 5
2025/5/23, 107, 131, 10, 12, 4, 5
2025/5/24, 140, 139, 6, 10, 4, 3
2025/5/25, 95, 138, 9, 12, 3, 8
2025/5/26, 122, 135, 73, 15, 3, 3
2025/5/27, 131, 138, 70, 12, 4, 4
2025/5/28, 128, 175, 38, 15, 3, 3
2025/5/29, 145, 190, 34, 17, 4, 5
2025/5/30, 148, 313, 41, 21, 4, 5
2025/5/31, 167, 239, 22, 9, 3, 2
2025/6/1, 126, 134, 38, 11, 3, 4
2025/6/2, 122, 146, 25, 16, 4, 4
2025/6/3, 127, 202, 29, 14, 4, 4
2025/6/4, 132, 146, 36, 14, 5, 3
2025/6/5, 127, 148, 38, 14, 4, 3
2025/6/6, 117, 211, 46, 24, 4, 5
2025/6/7, 155, 163, 37, 12, 5, 2
2025/6/8, 144, 302, 32, 17, 9, 5
2025/6/9, 165, 268, 23, 15, 10, 2
2025/6/10, 152, 219, 30, 15, 5, 5
2025/6/11, 153, 165, 32, 14, 4, 5
2025/6/12, 157, 191, 18, 15, 3, 4
2025/6/13, 143, 144, 30, 14, 3, 5
2025/6/14, 146, 156, 40, 12, 3, 2
2025/6/15, 114, 111, 32, 12, 3, 5
2025/6/16, 107, 97, 31, 12, 3, 4
2025/6/17, 108, 108, 42, 14, 3, 9
2025/6/18, 116, 93, 27, 16, 4, 4
2025/6/19, 94, 89, 32, 14, 3, 3
2025/6/20, 85, 83, 28, 15, 4, 6
2025/6/21, 78, 100, 28, 13, 2, 1
2025/6/22, 88, 112, 38, 13, 3, 5
2025/6/23, 113, 152, 12, 14, 3, 3
2025/6/24, 117, 143, 16, 13, 2, 5
2025/6/25, 141, 101, 23, 12, 2, 3
2025/6/26, 87, 93, 28, 12, 3, 4
2025/6/27, 68, 99, 25, 14, 3, 4
2025/6/28, 89, 99, 14, 14, 3, 4
2025/6/29, 91, 83, 14, 15, 3, 8
2025/6/30, 84, 101, 25, 10, 3, 5
2025/1/1, 256, 221, 10, 16, 3, 11
2025/1/2, 244, 241, 3, 16, 3, 13
2025/1/3, 247, 609, 13, 41, 4, 23
2025/1/4, 465, 271, 14, 23, 2, 12
2025/1/5, 261, 172, 12, 16, 3, 10
2025/1/6, 222, 204, 15, 15, 1, 10
2025/1/7, 230, 283, 23, 24, 1, 10
2025/1/8, 222, 542, 25, 34, 2, 21
2025/1/9, 375, 453, 13, 32, 4, 18
2025/1/10, 407, 198, 10, 25, 2, 12
2025/1/11, 251, 135, 15, 19, , 9
2025/1/12, 207, 150, 13, 17, 1, 11
2025/1/13, 190, 221, 21, 20, 2, 14
2025/1/14, 229, 427, 13, 33, 2, 15
2025/1/15, 365, 203, 23, 26, 1, 7
2025/1/16, 241, 142, 17, 16, , 5
2025/1/17, 198, 208, 19, 20, 1, 7
2025/1/18, 223, 435, 26, 23, 1, 13
2025/1/19, 330, 278, 27, 23, 1, 5
2025/1/20, 244, 290, 29, 24, 3, 5
2025/1/21, 224, 180, 24, 24, 3, 5
2025/1/22, 211, 191, 26, 22, 3, 4
2025/1/23, 212, 140, 27, 16, 4, 3
2025/1/24, 171, 271, 26, 22, 3, 6
2025/1/25, 167, 199, 32, 20, 1, 3
2025/1/26, 183, 236, 35, 22, 1, 5
2025/1/27, 207, 341, 34, 25, 3, 8
2025/1/28, 233, 527, 37, 33, 2, 13
2025/1/29, 373, 410, 32, 31, 4, 10
2025/1/30, 291, 334, 24, 21, 1, 8
2025/1/31, 294, 186, 19, 18, 2, 7
2025/2/1, 227, 186, 21, 20, 3, 5
2025/2/2, 241, 185, 24, 23, 3, 5
2025/2/3, 201, 310, 19, 34, 3, 9
2025/2/4, 258, 201, 32, 22, 3, 4
2025/2/5, 207, 181, 32, 22, 4, 4
2025/2/6, 194, 160, 33, 21, 3, 3
2025/2/7, 169, 221, 34, 27, 3, 4
2025/2/8, 176, 192, 40, 28, 5, 4
2025/2/9, 202, 287, 34, 31, 5, 6
2025/2/10, 259, 402, 39, 31, 2, 9
2025/2/11, 257, 217, 30, 22, 1, 4
2025/2/12, 183, 138, 34, 19, 3, 3
2025/2/13, 152, 145, 35, 25, 4, 3
2025/2/14, 152, 221, 40, 31, 5, 5
2025/2/15, 183, 323, 39, 28, 3, 9
2025/2/16, 269, 259, 32, 26, 7, 6
2025/2/17, 224, 220, 29, 25, 5, 4
2025/2/18, 181, 188, 33, 24, 4, 4
2025/2/19, 177, 127, 28, 24, 3, 4
2025/2/20, 150, 140, 32, 21, 3, 5
2025/2/21, 177, 118, 29, 16, 4, 3
2025/2/22, 160, 142, 34, 20, 3, 4
2025/2/23, 174, 164, 36, 21, 3, 4
2025/2/24, 180, 227, 37, 23, 3, 7
2025/2/25, 203, 331, 45, 27, 3, 8
2025/2/26, 211, 220, 18, 21, 3, 6
2025/2/27, 158, 103, 21, 18, 3, 4
2025/2/28, 155, 86, 25, 19, 3, 4
2025/3/1, 157, 95, 22, 15, 1, 3
2025/3/2, 137, 138, 34, 21, 3, 4
2025/3/3, 168, 122, 26, 16, 2, 3
2025/3/4, 146, 122, 25, 11, 2, 2
2025/3/5, 99, 193, 30, 18, 3, 5
2025/3/6, 142, 288, 30, 23, 6, 7
2025/3/7, 199, 215, 32, 21, 6, 5
2025/3/8, 175, 255, 43, 27, 3, 10
2025/3/9, 183, 197, 40, 27, 2, 6
2025/3/10, 174, 212, 46, 23, 5, 5
2025/3/11, 181, 270, 27, 19, 5, 6
2025/3/12, 212, 202, 30, 17, 10, 4
2025/3/13, 209, 165, 34, 16, 5, 7
2025/3/14, 171, 68, 33, 11, 2, 1
2025/3/15, 78, 116, 25, 12, 6, 1
2025/3/16, 135, 121, 30, 13, 5, 3
2025/3/17, 148, 153, 23, 15, 5, 5
2025/3/18, 121, 185, 31, 16, 8, 10
2025/3/19, 176, 230, 25, 18, 5, 4
2025/3/20, 175, 180, 26, 15, 8, 4
2025/3/21, 171, 201, 32, 17, 12, 6
2025/3/22, 188, 182, 37, 19, 7, 5
2025/3/23, 178, 222, 39, 20, 4, 8
2025/3/24, 170, 261, 40, 22, 4, 7
2025/3/25, 183, 269, 40, 23, 6, 6
2025/3/26, 155, 360, 22, 24, 5, 7
2025/3/27, 189, 246, 31, 13, 5, 3
2025/3/28, 153, 209, 31, 14, 6, 2
2025/3/29, 122, 129, 32, 15, 12, 3
2025/3/30, 126, 167, 29, 19, 22, 4
2025/3/31, 173, 243, 27, 20, 20, 5
2024/10/1, 157, 266, 18, 23, 4, 10
2024/10/2, 156, 201, 18, 21, 6, 10
2024/10/3, 131, 270, 15, 20, 4, 9
2024/10/4, 133, 239, 10, 18, 5, 9
2024/10/5, 112, 150, 21, 17, 5, 7
2024/10/6, 119, 138, 16, 12, 5, 8
2024/10/7, 128, 192, 19, 14, 5, 9
2024/10/8, 162, 138, 23, 12, 5, 9
2024/10/9, 155, 122, 21, 12, 5, 8
2024/10/10, 131, 151, 34, 16, 6, 8
2024/10/11, 153, 170, 34, 21, 6, 10
2024/10/12, 163, 220, 34, 21, 5, 10
2024/10/13, 163, 225, 30, 23, 6, 10
2024/10/14, 171, 310, 36, 27, 6, 11
2024/10/15, 177, 357, 36, 33, 5, 14
2024/10/16, 192, 416, 47, 37, 5, 19
2024/10/17, 226, 493, 26, 35, 6, 20
2024/10/18, 235, 481, 20, 38, 4, 17
2024/10/19, 219, 373, 41, 29, 6, 15
2024/10/20, 236, 260, 36, 25, 5, 13
2024/10/21, 219, 399, 25, 30, 5, 17
2024/10/22, 252, 324, 27, 20, 5, 14
2024/10/23, 277, 200, 27, 14, 6, 12
2024/10/24, 227, 247, 24, 22, 6, 12
2024/10/25, 192, 301, 34, 28, 6, 14
2024/10/26, 210, 448, 39, 41, 4, 21
2024/10/27, 277, 303, 27, 36, 6, 16
2024/10/28, 217, 297, 30, 32, 5, 17
2024/10/29, 195, 348, 22, 28, 5, 17
2024/10/30, 225, 280, 20, 16, 7, 14
2024/10/31, 250, 260, 21, 14, 8, 14
2024/11/1, 274, 214, 26, 20, 7, 16
2024/11/2, 239, 381, 18, 25, 7, 18
2024/11/3, 329, 378, 18, 25, 6, 19
2024/11/4, 311, 526, 18, 33, 7, 26
2024/11/5, 298, 503, 16, 33, 5, 24
2024/11/6, 320, 492, 15, 43, 6, 27
2024/11/7, 331, 387, 3, 39, 4, 21
2024/11/8, 278, 308, 3, 37, 5, 19
2024/11/9, 251, 270, 3, 28, 5, 16
2024/11/10, 262, 382, 3, 34, 6, 23
2024/11/11, 302, 313, 3, 27, 5, 19
2024/11/12, 288, , 3, 17, 4, 25
2024/11/13, 474, , 2, 25, 4, 27
2024/11/14, 429, , , , , 
2024/11/16, 371, 602, 26, 21, 4, 12
2024/11/17, 525, 877, 28, 18, 7, 14
2024/11/18, 677, 505, 42, 20, 6, 9
2024/11/19, 391, 442, 25, 21, 6, 9
2024/11/20, 366, 368, 18, 23, 4, 7
2024/11/21, 301, 521, 15, 26, 6, 8
2024/11/22, 370, 562, 13, 32, 7, 13
2024/11/23, 338, 344, 10, 24, 2, 9
2024/11/24, 237, 478, 11, 19, 7, 10
2024/11/25, 327, 346, 8, 21, 7, 9
2024/11/26, 254, 315, 8, 27, 7, 11
2024/11/27, 212, 433, 9, 36, 6, 13
2024/11/28, 302, 509, 9, 38, 8, 15
2024/11/29, 333, 432, 29, 28, 4, 15
2024/11/30, 304, 279, 29, 22, 5, 10
2024/12/1, 244, 297, 26, 24, 6, 11
2024/12/2, 227, 206, 24, 23, 5, 9
2024/12/3, 209, 157, 21, 15, 4, 7
2024/12/4, 156, 174, 25, 17, 6, 7
2024/12/5, 163, 188, 26, 19, 5, 8
2024/12/6, 164, 218, 26, 24, 7, 15
2024/12/7, 217, 339, 23, 28, 4, 16
2024/12/8, 310, 158, 21, 18, 4, 7
2024/12/9, 190, 178, 24, 19, 4, 7
2024/12/10, 182, 228, 26, 21, 5, 9
2024/12/11, 214, 340, 24, 23, 5, 9
2024/12/12, 250, 190, 33, 16, 5, 7
2024/12/13, 193, 197, 26, 21, 6, 9
2024/12/14, 197, 342, 25, 28, 4, 12
2024/12/15, 271, 415, 40, 29, 5, 12
2024/12/16, 344, 635, 46, 40, 5, 18
2024/12/17, 435, 526, 23, 30, 6, 16
2024/12/18, 413, 572, 27, 39, 4, 23
2024/12/19, 460, 487, 24, 27, 1, 14
2024/12/20, 415, 349, 28, 24, 4, 11
2024/12/21, 322, 538, 37, 38, 6, 17
2024/12/22, 399, 441, 11, 31, 4, 14
2024/12/23, 388, 294, 16, 24, 4, 13
2024/12/24, 304, 262, 12, 21, 5, 10
2024/12/25, 301, 344, 14, 28, 7, 14
2024/12/26, 300, 228, 10, 22, 3, 10
2024/12/27, 253, 111, 5, 17, 4, 8
2024/12/28, 180, 107, 13, 10, 3, 6
2024/12/29, 176, , , , , 
2024/7/1, 95, 221, 26, 21, , 8
2024/7/2, 108, 176, 27, 24, , 8
2024/7/3, 94, 82, 35, 20, 2, 8
2024/7/4, 82, 135, 14, 29, 2, 10
2024/7/5, 113, 145, 45, 13, 2, 7
2024/7/6, 71, 60, 42, 15, 1, 7
2024/7/7, 41, 79, 35, 14, 1, 7
2024/7/8, 55, 198, 37, 23, 1, 9
2024/7/9, 105, 248, 24, 23, , 9
2024/7/10, 141, 101, 29, 25, 4, 8
2024/7/11, 103, 92, 41, 15, 5, 6
2024/7/12, 79, 102, 32, 25, 5, 8
2024/7/13, 104, 128, 30, 18, 5, 8
2024/7/14, 127, 85, 29, 22, 5, 9
2024/7/15, 100, 159, 28, 20, 4, 8
2024/7/16, 127, 97, 60, 63, 6, 8
2024/7/17, 95, 86, 33, 37, 4, 11
2024/7/18, 111, 236, 26, 27, 5, 8
2024/7/19, 143, 191, 29, 17, 5, 8
2024/7/20, 124, 84, 16, 17, 5, 7
2024/7/21, 108, 76, 13, 26, 7, 10
2024/7/22, 95, 99, 12, 26, 4, 9
2024/7/23, 121, 99, 16, 24, 6, 7
2024/7/24, 123, 153, 11, 19, 5, 9
2024/7/25, 121, 99, 9, 17, 5, 8
2024/7/26, 108, 157, 9, 19, 5, 
2024/7/27, 128, 96, 10, 17, 4, 
2024/7/28, 99, 77, 12, 15, 5, 8
2024/7/29, 88, 88, 12, 17, 6, 6
2024/7/30, 103, 74, 18, 16, 5, 6
2024/7/31, 86, 26, 31, 16, 6, 6
2024/8/1, 38, 55, 8, 21, 5, 8
2024/8/2, 82, 54, 11, 17, 5, 7
2024/8/3, 65, 42, 11, 13, 5, 6
2024/8/4, 45, 39, 14, 13, 6, 6
2024/8/5, 53, 46, 22, 14, 6, 6
2024/8/6, 48, 27, 13, 16, 5, 7
2024/8/7, 38, 21, 13, 14, 5, 7
2024/8/8, 46, 53, 13, 16, 5, 7
2024/8/9, 73, 76, 8, 22, 4, 8
2024/8/10, 104, 45, 10, 17, 5, 7
2024/8/11, 68, 42, 16, 15, 5, 7
2024/8/12, 78, 35, 23, 16, 5, 7
2024/8/13, 73, 64, 17, 15, 5, 8
2024/8/14, 121, 63, 18, 10, 5, 6
2024/8/15, 92, 34, 17, 11, 5, 6
2024/8/16, 61, 48, 21, 16, 5, 8
2024/8/17, 85, 64, 20, 12, 5, 7
2024/8/18, 89, 94, 18, 10, 5, 8
2024/8/19, 104, 39, 20, 10, 5, 7
2024/8/20, 77, 47, 21, 16, 5, 7
2024/8/21, 85, 56, 15, 11, 5, 6
2024/8/22, 72, 66, 19, 10, 5, 8
2024/8/23, 79, 94, 18, 12, 5, 8
2024/8/24, 123, 49, 17, 10, 5, 7
2024/8/25, 79, 51, 21, 10, 5, 7
2024/8/26, 79, 36, 17, 12, 6, 7
2024/8/27, 62, 37, 11, 12, 5, 7
2024/8/28, 64, 49, 8, 13, 5, 9
2024/8/29, 81, 74, 25, 13, 5, 10
2024/8/30, 116, 94, 13, 13, 4, 6
2024/8/31, 116, 202, 20, 9, 5, 6
2024/9/1, 118, 70, 13, 8, 5, 9
2024/9/2, 102, 84, 16, 11, 5, 7
2024/9/3, 96, 79, 11, 13, 5, 8
2024/9/4, 83, 79, 8, 12, 5, 8
2024/9/5, 104, 149, 23, 12, 5, 7
2024/9/6, 90, 68, 18, 33, 5, 7
2024/9/7, 76, 214, 29, 11, 4, 8
2024/9/8, 128, 238, 18, 11, 5, 9
2024/9/9, 134, 117, 60, 24, 5, 10
2024/9/10, 130, 172, 43, 16, 5, 8
2024/9/11, 106, 77, 48, 16, 5, 7
2024/9/12, 58, 30, 16, 12, 3, 6
2024/9/13, 42, 93, 30, 15, 5, 9
2024/9/14, 98, 114, 14, 17, 5, 8
2024/9/15, 111, 124, 12, 8, 5, 8
2024/9/16, 116, 184, 3, 10, 4, 9
2024/9/17, 134, 85, 7, 16, 5, 9
2024/9/18, 103, 63, 5, 13, 5, 9
2024/9/19, 92, 188, 9, 20, 7, 9
2024/9/20, 106, 188, 18, 20, 5, 10
2024/9/21, 138, 195, 6, 14, 4, 9
2024/9/22, 155, 251, 9, 10, 5, 9
2024/9/23, 170, 119, 9, 11, 5, 8
2024/9/24, 159, 135, 13, 19, 4, 9
2024/9/25, 148, 83, 14, 15, 4, 8
2024/9/26, 85, 76, 11, 15, 5, 7
2024/9/27, 44, 69, 18, 15, 4, 8
2024/9/28, 58, 80, 13, 13, 5, 8
2024/9/29, 88, 205, 15, 14, 5, 9
2024/9/30, 163, 166, 21, 16, 5, 9
2024/4/1, 148, 158, 43, 10, 12, 7
2024/4/2, 157, 201, 68, 17, 5, 8
2024/4/3, 157, 170, 56, 13, 13, 7
2024/4/4, 146, 193, 50, 13, 9, 7
2024/4/5, 151, 169, 78, 11, 13, 7
2024/4/6, 161, 182, 28, 21, 19, 11
2024/4/7, 119, 235, 39, 28, 19, 8
2024/4/8, 259, 286, 64, 35, 8, 8
2024/4/9, 184, 203, 87, 40, 7, 10
2024/4/10, 176, 241, 68, 35, 5, 9
2024/4/11, 164, 215, 87, 35, 15, 9
2024/4/12, 181, 119, 64, 19, 3, 6
2024/4/13, 115, 113, 36, 20, 2, 8
2024/4/14, 145, 321, 34, 34, 5, 12
2024/4/15, 220, 273, 30, 24, 9, 9
2024/4/16, 178, 114, 45, 14, 10, 6
2024/4/17, 118, 139, 30, 24, 7, 6
2024/4/18, 126, 213, 30, 28, 7, 8
2024/4/19, 137, 222, 45, 18, 12, 6
2024/4/20, 142, 124, 41, 17, 13, 6
2024/4/21, 123, 127, 46, 21, 13, 7
2024/4/22, 133, 236, 28, 31, 13, 9
2024/4/23, 185, 181, 45, 28, 8, 10
2024/4/24, 168, 124, 33, 20, 8, 7
2024/4/25, 92, 177, 58, 26, 9, 9
2024/4/26, 153, 152, 40, 20, 8, 7
2024/4/27, 130, 140, 45, 19, 12, 8
2024/4/28, 138, 203, 49, 22, 8, 9
2024/4/29, 156, 163, 52, 17, 14, 8
2024/4/30, 150, 207, 42, 15, 12, 8
2024/5/1, 156, 190, 43, 19, 18, 8
2024/5/2, 169, 296, 72, 28, 21, 11
2024/5/3, 248, 393, 79, 36, 26, 14
2024/5/4, 291, 635, 68, 42, 29, 20
2024/5/5, 392, 241, 60, 24, 12, 9
2024/5/6, 171, 471, 79, 39, 18, 14
2024/5/7, 310, 166, 34, 25, 2, 8
2024/5/8, 156, 122, 67, 21, 3, 9
2024/5/9, 133, 197, 56, 22, 3, 10
